key,en,zh,vi,fr
mode.45,Equation,方程,Phương trình,Équation
mode.88,Table,函数表格,Bảng giá trị,Tabl fonct
mode.89,Verify,验证,Kiểm chứng,Vérification
mode.4501,Simultaneous Equation with 2 Unknowns,二元一次方程组,Phương trình tuyến tính đồng thời với 2 ẩn,Équations simultanées à 2 inconnues
mode.4502,Simultaneous Equation with 3 Unknowns,三元一次方程组,Phương trình tuyến tính đồng thời với 3 ẩn,Équations simultanées à 3 inconnues
mode.4503,Simultaneous Equation with 4 Unknowns,四元一次方程组,Phương trình tuyến tính đồng thời với 4 ẩn,Équations simultanées à 4 inconnues
mode.4504,Quadratic Equation [ax²+bx+c=0],二次方程 [ax²+bx+c=0],Phương trình bậc hai [ax²+bx+c=0],Équation quadratique [ax²+bx+c=0]
mode.4505,Cubic Equation [ax³+bx²+cx+d=0],三次方程 [ax³+bx²+cx+d=0],Phương trình bậc ba [ax³+bx²+cx+d=0],Équation cubique [ax³+bx²+cx+d=0]
mode.4506,Quartic Equation [ax⁴+bx³+cx²+dx+e=0],四次方程 [ax⁴+bx³+cx²+dx+e=0],Phương trình bậc bốn [ax⁴+bx³+cx²+dx+e=0],Équation quartique [ax⁴+bx³+cx²+dx+e=0]
mode.4508,Solver,求解方程,Bộ giải phương trình,Solveur
mode.4511,Linear Equation [ax+b=0],一元一次方程 [ax+b=0],Phương trình bậc nhất [ax+b=0],Équation deg. 1 [ax+b=0]
mode.4512,Linear Equation [ax+b=cx+d],一元一次方程 [ax+b=cx+d],Phương trình bậc nhất [ax+b=cx+d],Équation deg. 1 [ax+b=cx+d]
mode.C1,Calculate,计算,Phép tính thường,Calcul
mode.02,Base-N,基数,Hệ đếm cơ số N,Base-N
mode.0201,Binary,二进制,Nhị phân,Binaire
mode.0207,Octal,八进制,Bát phân,Octal
mode.0209,Decimal,十进制,Thập phân,Décimal
mode.020F,Hexadecimal,十六进制,Thập lục phân,Hexadécimal
mode.03,Statistics,统计,Thống kê,Stats
mode.0301,Single-Variable Statistic,单变量统计,Thống kê 1 biến,Stats à 1 var
mode.0302,Linear Regression,线性回归,Hồi quy tuyến tính,Régression linéaire
mode.0303,Quadratic Regression,二次回归,Hồi quy bậc hai,Régression quadratique
mode.0304,Logarithmic Regression,对数回归,Hồi quy lôgarit,Régression logarithmique
mode.0305,e exponential Regression,e 指数回归,e hồi quy hàm số mũ,Régression exponentielle e
mode.0306,ab exponential Regression,ab 指数回归,ab hồi quy hàm số mũ,Régression exponentielle ab
mode.0307,Power Regression,乘方回归,Hồi quy lũy thừa,Régression de puissance
mode.0308,Inverse Regression,逆回归,Hồi quy nghịch đảo,Régression inverse
mode.03T.02ASC,y=a+bx,,,
mode.03T.02DESC,y=ax+b,,,
mode.03T.03ASC,y=a+bx+cx²,,,
mode.03T.03DESC,y=ax²+bx+c,,,
mode.03T.04,y=a+b･ln(x),,,
mode.03T.05,y=a･e^(bx),,,
mode.03T.06,y=a･b^x,,,
mode.03T.07,y=a･x^b,,,
mode.03T.08,y=a+b/x,,,
mode.C4,Complex,复数,Số phức,Complexes
mode.06,Matrix,矩阵,Ma trận,Matrice
mode.07,Vector,向量,Véc-tơ,Vecteurs
mode.09,Graph,绘图,Đồ thị,Graphe
mode.4A,Ratio,比例,Tỉ lệ thức,Prod. croix
mode.4A01,A:B=X:D,,,
mode.4A02,A:B=C:X,,,
mode.4B,Inequality,不等式,Bất phương trình,Inégalité
mode.4B0400,ax²+bx+c>0,,,
mode.4B0401,ax²+bx+c<0,,,
mode.4B0402,ax²+bx+c≥0,,,
mode.4B0403,ax²+bx+c≤0,,,
